domainname,nr_asn
newsbox.ch,4327.0
fh-htwchur.ch,4325.0
cloudfor.ch,4313.0
ubp.ch,4306.0
maxr.ch,4303.0
thenet.ch,4302.0
cdt.ch,4301.0
serverarray.ch,4299.0
globus.ch,4281.0
com.ch,4278.0
pingnet.ch,4277.0
rigilan.ch,4276.0
netfusion.ch,4276.0
b-r.ch,4275.0
fairgatemail.ch,4273.0
wootly.ch,4269.0
rhenus.ch,4264.0
mychoice.ch,4263.0
siag.ch,4263.0
geoweb.ch,4254.0
rubmaps.ch,4254.0
network-corner.ch,4253.0
davidoff.ch,4251.0
dns1.ch,4250.0
szkb.ch,4237.0
ctek.ch,4236.0
logicare.ch,4235.0
oferlo.ch,4234.0
corvent.ch,4232.0
compraevenda.ch,4231.0
azuris.ch,4228.0
swiss-gov.ch,4223.0
bernerzeitung.ch,4220.0
diffinco.ch,4215.0
prosenectute.ch,4213.0
cardcenter.ch,4209.0
z-hosting.ch,4208.0
autolina.ch,4207.0
opernhaus.ch,4203.0
cicitt.ch,4196.0
messaging.ch,4194.0
sivc.ch,4193.0
bazonline.ch,4189.0
eroticmonkey.ch,4186.0
snf.ch,4183.0
musta.ch,4177.0
milnet.ch,4176.0
dynanet.ch,4176.0
ipi.ch,4167.0
hellofresh.ch,4162.0
kdt-hosting.ch,4161.0
refline.ch,4153.0
dns2.ch,4153.0
visana.ch,4151.0
phnet.ch,4149.0
m-travel.ch,4149.0
cts-ag.ch,4144.0
basel-landschaft.ch,4141.0
radioswissclassic.ch,4135.0
appuioapp.ch,4132.0
intergga.ch,4132.0
infoteam.ch,4127.0
antanet.ch,4124.0
flughafen-zuerich.ch,4115.0
weightwatchers.ch,4113.0
smart-dynamic.ch,4113.0
amag.ch,4112.0
wapspirit.ch,4110.0
itris.ch,4109.0
gva.ch,4098.0
netboot.ch,4096.0
sdd1.ch,4086.0
derbund.ch,4086.0
icasa.ch,4083.0
bernexpo.ch,4083.0
gfmer.ch,4082.0
rolotec.ch,4077.0
weserve.ch,4074.0
beltronic.ch,4074.0
phsg.ch,4074.0
pipeline.ch,4070.0
zimi.ch,4065.0
unity-web.ch,4065.0
ipworldcom.ch,4062.0
youngsolutions.ch,4062.0
provisu.ch,4059.0
live-stream.ch,4057.0
chilimail.ch,4056.0
zaipostall.ch,4055.0
exlibris.ch,4053.0
xwave.ch,4048.0
concordia.ch,4047.0
avalisnt.ch,4047.0
webinformatik.ch,4045.0
beobachter.ch,4044.0
ezwww.ch,4039.0
unizh.ch,4037.0
freenet.ch,4032.0
belsoft.ch,4031.0
levidia.ch,4025.0
pearsoft.ch,4024.0
phr.ch,4022.0
braincube.ch,4019.0
leuchterag.ch,4013.0
egeli.ch,4006.0
ehb-schweiz.ch,4005.0
itexa.ch,4003.0
mail.ch,4001.0
muensingen.ch,4001.0
bistemaner.ch,4000.0
keepvid.ch,3996.0
gict.ch,3996.0
gmmdns.ch,3993.0
beckert.ch,3991.0
ticinohosting.ch,3990.0
gva-centres.ch,3988.0
gsdnet.ch,3985.0
heberg.ch,3985.0
schminkparadies.ch,3978.0
baffle.ch,3974.0
bitonserle.ch,3973.0
schenk-wine.ch,3961.0
edubs.ch,3955.0
demicomp.ch,3953.0
p6k.ch,3953.0
eventnet.ch,3953.0
aargauerzeitung.ch,3943.0
